Name,original address,TypeFull,old text,Phone,Start Time,Day,Address,status,street,borough,zip,cb,cwz,lat,lon,BBL,Additional Information,Type,Open Range
FRIENDLY HANDS MINISTRY INC,"115 E 125th St, New York, NY, 10035, USA",Food Pantry,ClosedOpens 10:00 AM Wed(646) 370-3978,(646) 370-3978,10:00 AM,Wed,"115 E 125th St, New York, NY, 10035, USA",OK,115 EAST  125 STREET,MANHATTAN,10035,111,MN6,40.804764,-73.938323,1017740009,,Food Pantry,Morning
TEMPLE SHAARAY TEFILA,"250 E 79th St, New York, New York, 10075",Soup Kitchen,ClosedOpens 11:15 AM Wed(212) 535-8008,(212) 535-8008,11:15 AM,Wed,"250 E 79th St, New York, New York, 10075",OK,250 EAST   79 STREET,MANHATTAN,10075,108,MN6,40.773797,-73.956166,1014330127,,Soup Kitchen,Noon
ADMIRABLE CHRIST MINISTRIES FOOD PANTRY,"1201 Southern Blvd, Bronx, NY, 10459, USA",Food Pantry,ClosedOpens 2:00 PM Fri(570) 856-7065,(570) 856-7065,2:00 PM,Fri,"1201 Southern Blvd, Bronx, NY, 10459, USA",OK,1201 SOUTHERN BOULEVARD,BRONX,10459,203,BX1,40.828787,-73.891901,2029750041,,Food Pantry,Afternoon
THE SALVATION ARMY BRONX CITADEL,"425 E 159th St, Bronx, New York, 10451",Food PantrySoup Kitchen,ClosedOpens 1:00 PM Fri(718) 665-8472,(718) 665-8472,1:00 PM,Fri,"425 E 159th St, Bronx, New York, 10451",OK,425 EAST  159 STREET,BRONX,10451,203,BX1,40.822679,-73.913614,2023810029,,Food Pantry,Afternoon
ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,"1765 Madison Ave, New York, New York, 10029",Food Pantry,ClosedOpens 10:00 AM Fri(212) 369-6643,(212) 369-6643,10:00 AM,Fri,"1765 Madison Ave, New York, New York, 10029",OK,1765 MADISON AVENUE,MANHATTAN,10029,111,MN6,40.799876,-73.944915,1016210050,,Food Pantry,Morning
MORRISANIA REVITALIZATION CORP INC,"576B E 165th St, Bronx, NY, 10456, USA",Food Pantry,ClosedOpens 9:00 AM Fri(718) 589-7858,(718) 589-7858,9:00 AM,Fri,"576B E 165th St, Bronx, NY, 10456, USA",OK,576B EAST  165 STREET,BRONX,10456,203,BX1,40.825695,-73.906615,2026220005,,Food Pantry,Morning
BETH HARK CHRISTIAN COUNSELING CENTER,"1832 Madison Ave, New York, New York, 10035",Food PantrySoup Kitchen,OpenCloses 1:00 PM(212) 860-1523,(212) 860-1523,1:00 PM,No Info,"1832 Madison Ave, New York, New York, 10035",OK,1832 MADISON AVENUE,MANHATTAN,10035,111,MN6,40.802019,-73.943379,1017460002,,Food Pantry,Afternoon
KEHILAT SEPHARDIM OF AHAVAT ACHIM,"150-62 78th Rd, Flushing, NY, 11367, USA",Food Pantry - Kosher,OpenCloses 1:00 PM(718) 591-9574,(718) 591-9574,1:00 PM,No Info,"150-62 78th Rd, Flushing, NY, 11367, USA",OK,150-62 78 ROAD,QUEENS,11367,408,QN3,40.720728,-73.813366,4067110084,Kosher,Food Pantry,Afternoon
EMANUEL PENTECOSTAL FAITH CHURCH,"1310 Elder Ave, Bronx, New York, 10472",Food Pantry,ClosedOpens 12:00 PM Wed(718) 842-4092,(718) 842-4092,12:00 PM,Wed,"1310 Elder Ave, Bronx, New York, 10472",OK,1310 ELDER AVENUE,BRONX,10472,209,BX2,40.831597,-73.879866,2038630010,,Food Pantry,Noon
NEW YORK COMMON PANTRY,"8 E 109th St, New York, New York, 10029",Food PantrySoup Kitchen,OpenCloses 2:30 PM(917) 720-9700,(917) 720-9700,2:30 PM,No Info,"8 E 109th St, New York, New York, 10029",OK,8 EAST  109 STREET,MANHATTAN,10029,111,MN6,40.795967,-73.949119,1016140066,,Food Pantry,Afternoon
"WORLD RESTORATION CENTER, INC (FP)","488 E 164th St, Bronx, NY, 10456, USA",Food Pantry,ClosedOpens 12:00 PM Sat(718) 971-1764,(718) 971-1764,12:00 PM,Sat,"488 E 164th St, Bronx, NY, 10456, USA",OK,488 EAST  164 STREET,BRONX,10456,203,BX1,40.82572,-73.909531,2023687501,,Food Pantry,Noon
NEW YORK COMMON PANTRY - BRONX,"1290 Hoe Ave, Bronx, New York, 10459",Food Pantry,OpenCloses 2:30 PM(917) 423-2701,(917) 423-2701,2:30 PM,No Info,"1290 Hoe Ave, Bronx, New York, 10459",OK,1290 HOE AVENUE,BRONX,10459,203,BX1,40.830888,-73.890495,2029870010,,Food Pantry,Afternoon
"MANNA OF LIFE MINISTRIES, INC","1101 Boston Rd, Bronx, New York, 10456",Food PantrySoup Kitchen,ClosedOpens 8:00 AM Sat(347) 577-5788,(347) 577-5788,8:00 AM,Sat,"1101 Boston Rd, Bronx, New York, 10456",OK,1101 BOSTON ROAD,BRONX,10456,203,BX1,40.82742,-73.904759,2026130040,,Food Pantry,Morning
CITY HARVEST - MELROSE MOBILE MARKET,"286 E 156th St, Bronx, New York, 10451",Food Pantry - Mobile,ClosedOpens 9:30 AM Sat(646) 412-0740,(646) 412-0740,9:30 AM,Sat,"286 E 156th St, Bronx, New York, 10451",OK,286 EAST  156 STREET,BRONX,10451,201,BX1,40.822022,-73.920289,2024130001,Mobile,Food Pantry,Morning
WOODBINE (FP),"585 Woodward Ave, Ridgewood, NY, 11385, USA",Food Pantry,ClosedOpens 9:30 AM Mon(646) 824-6064,(646) 824-6064,9:30 AM,Mon,"585 Woodward Ave, Ridgewood, NY, 11385, USA",OK,585 WOODWARD AVENUE,QUEENS,11385,405,QN2,40.70641,-73.908243,4033910006,,Food Pantry,Morning
NEW CONVENANT COMMUNITY DEVELOPMENT CORP,"1175 Boston Rd, Bronx, New York, 10456",Food Pantry,OpenCloses 1:00 PM(718) 328-6072,(718) 328-6072,1:00 PM,No Info,"1175 Boston Rd, Bronx, New York, 10456",OK,1175 BOSTON ROAD,BRONX,10456,203,BX1,40.828841,-73.90312,2026140043,,Food Pantry,Afternoon
THE LEGACY CENTER COMMUNITY DEVELOPMENT CORP,"71-02 Cypress Hills St, Ridgewood, NY, 11385, USA",Food Pantry,OpenCloses 1:00 PM(718) 456-4852,(718) 456-4852,1:00 PM,No Info,"71-02 Cypress Hills St, Ridgewood, NY, 11385, USA",OK,71-02 CYPRESS HILLS STREET,QUEENS,11385,405,QN2,40.701741,-73.892395,4036390001,,Food Pantry,Afternoon
CHURCH OF THE ATONEMENT FOOD PANTRY,"1344 Beach Ave, Bronx, New York, 10472",Food Pantry,ClosedOpens 10:00 AM Sat(718) 828-6078,(718) 828-6078,10:00 AM,Sat,"1344 Beach Ave, Bronx, New York, 10472",OK,1344 BEACH AVENUE,BRONX,10472,209,BX2,40.833555,-73.866637,2038770030,,Food Pantry,Morning
PATHHSEO INC,"1357 Southern Blvd, Bronx, NY, 10459, USA",Soup Kitchen,ClosedOpens 12:00 PM Sat(917) 471-9188,(917) 471-9188,12:00 PM,Sat,"1357 Southern Blvd, Bronx, NY, 10459, USA",OK,1357 SOUTHERN BOULEVARD,BRONX,10459,203,BX1,40.831336,-73.891347,2029760082,,Soup Kitchen,Noon
FREE FOOD HARLEM (SK),"37 W 119th St, New York, NY, 10026, USA",Soup Kitchen,ClosedOpens 5:15 PM Fri(510) 541-9430,(510) 541-9430,5:15 PM,Fri,"37 W 119th St, New York, NY, 10026, USA",OK,37 WEST  119 STREET,MANHATTAN,10026,110,MN7,40.803184,-73.946415,1017180024,,Soup Kitchen,Afternoon
UNION GROVE BAPTIST CHURCH,"1488 Hoe Ave, Bronx, New York, 10460",Food Pantry,ClosedOpens 9:00 AM Wed(347) 590-3881,(347) 590-3881,9:00 AM,Wed,"1488 Hoe Ave, Bronx, New York, 10460",OK,1488 HOE AVENUE,BRONX,10460,203,BX1,40.832891,-73.889299,2029880014,,Food Pantry,Morning
ANTIOCH OUTREACH MINISTRIES,"41 W 124th St, New York, New York, 10027",Food Pantry,ClosedOpens 7:30 AM Sat(212) 534-5715,(212) 534-5715,7:30 AM,Sat,"41 W 124th St, New York, New York, 10027",OK,41 WEST  124 STREET,MANHATTAN,10027,110,MN7,40.806499,-73.944538,1017220019,,Food Pantry,Morning
ST. NICHOLAS OF TOLENTINE CHURCH- F.P.,"150-75 Goethals Ave, Jamaica, New York, 11432",Food Pantry,ClosedOpens 9:00 AM undefined(718) 969-3226,(718) 969-3226,9:00 AM,No Info,"150-75 Goethals Ave, Jamaica, New York, 11432",OK,150-75 GOETHALS AVENUE,QUEENS,11432,408,QN3,40.718108,-73.809679,4067130041,,Food Pantry,Morning
COMMUNITY ALLIANCE INITIATIVE,"60-85 Myrtle Ave, Ridgewood, New York, 11385",Food Pantry,ClosedOpens 10:00 AM Fri(718) 305-4888,(718) 305-4888,10:00 AM,Fri,"60-85 Myrtle Ave, Ridgewood, New York, 11385",OK,60-85 MYRTLE AVENUE,QUEENS,11385,405,QN2,40.700753,-73.895199,4035380051,,Food Pantry,Morning
BETHEL AME CHURCH,"60 W 132nd St, New York, New York, 10037",Food Pantry,ClosedOpens 9:30 AM undefined(212) 862-0100,(212) 862-0100,9:30 AM,No Info,"60 W 132nd St, New York, New York, 10037",OK,60 WEST  132 STREET,MANHATTAN,10037,110,MN7,40.811605,-73.940834,1017290058,,Food Pantry,Morning
PARKCHESTER BAPTIST CHURCH (FP),"2021 Benedict Ave, Bronx, New York, 10462",Food Pantry,ClosedOpens 11:00 AM Tue(718) 823-8124,(718) 823-8124,11:00 AM,Tue,"2021 Benedict Ave, Bronx, New York, 10462",OK,2021 BENEDICT AVENUE,BRONX,10462,209,BX2,40.834419,-73.857008,2039320122,,Food Pantry,Noon
PROJECT CREATE - ANTHONY HOUSE,"73 Lenox Ave, New York, NY, 10026, USA",Food Pantry,ClosedOpens 10:00 AM Wed(212) 663-1596,(212) 663-1596,10:00 AM,Wed,"73 Lenox Ave, New York, NY, 10026, USA",OK,73 LENOX AVENUE,MANHATTAN,10026,110,MN7,40.800543,-73.950777,1018230034,,Food Pantry,Morning
CCCS - KENNEDY CENTER FOOD PANTRY,"34 W 134th St, New York, New York, 10037",Food Pantry,ClosedOpens 10:00 AM Wed(212) 862-6401,(212) 862-6401,10:00 AM,Wed,"34 W 134th St, New York, New York, 10037",OK,34 WEST  134 STREET,MANHATTAN,10037,110,MN7,40.812702,-73.939645,1017300016,,Food Pantry,Morning
MT. OLIVET BAPTIST CHURCH COMMUNITY MEAL PROGRAM,"201 Lenox Ave, New York, New York, 10027",Food Pantry,ClosedOpens 10:30 AM Tue(212) 864-1155,(212) 864-1155,10:30 AM,Tue,"201 Lenox Ave, New York, New York, 10027",OK,201 LENOX AVENUE,MANHATTAN,10027,110,MN7,40.804686,-73.947751,1019050029,,Food Pantry,Morning
MUNA SOCIAL SERVICES PARKCHESTER ISLAMIC CENTER (FPH),"1375 Virginia Ave, Bronx, NY, 10462, USA",Food Pantry,ClosedOpens 4:00 PM Thu(212) 920-6202,(212) 920-6202,4:00 PM,Thu,"1375 Virginia Ave, Bronx, NY, 10462, USA",OK,1375 VIRGINIA AVENUE,BRONX,10462,209,BX2,40.83504,-73.86195,2039360023,,Food Pantry,Afternoon
AGAPE CHRISTIAN CENTER,"59-02 Summerfield St, Ridgewood, New York, 11385",Food Pantry,ClosedOpens 10:00 AM Sat(718) 635-0674,(718) 635-0674,10:00 AM,Sat,"59-02 Summerfield St, Ridgewood, New York, 11385",OK,59-02 SUMMERFIELD STREET,QUEENS,11385,405,QN2,40.699452,-73.897837,4035890001,,Food Pantry,Morning
INSPIRATIONAL GOSPEL ASSEMBLY,"1211 Brook Ave, Bronx, New York, 10456",Food Pantry,ClosedOpens 11:00 AM Sat(347) 758-6447,(347) 758-6447,11:00 AM,Sat,"1211 Brook Ave, Bronx, New York, 10456",OK,1211 BROOK AVENUE,BRONX,10456,203,BX1,40.83153,-73.909061,2023940030,,Food Pantry,Noon
ST. MARK THE EVANGELIST CHURCH,"65 W 138th St, New York, New York, 10037",Food Pantry,ClosedOpens 10:00 AM Sat(212) 281-4931,(212) 281-4931,10:00 AM,Sat,"65 W 138th St, New York, New York, 10037",OK,65 WEST  138 STREET,MANHATTAN,10037,110,MN7,40.815578,-73.938353,1017360007,,Food Pantry,Morning
REDEEMED CHRISTIAN CHURCH OF GOD,"1005 Morris Ave, Bronx, New York, 10456",Food Pantry,ClosedOpens 12:00 PM Sat(718) 293-8996,(718) 293-8996,12:00 PM,Sat,"1005 Morris Ave, Bronx, New York, 10456",OK,1005 MORRIS AVENUE,BRONX,10456,204,BX1,40.828983,-73.916591,2024470053,,Food Pantry,Noon
VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES,"1140 Teller Ave, Bronx, New York, 10456",Food Pantry,ClosedOpens 10:00 AM Sat(718) 538-9211,(718) 538-9211,10:00 AM,Sat,"1140 Teller Ave, Bronx, New York, 10456",OK,1140 TELLER AVENUE,BRONX,10456,204,BX1,40.830748,-73.912495,2024290015,,Food Pantry,Morning
MOUNT MORIAH SEVENTH DAY ADVENTIST CHURCH FP,1834 DECATUR STREE,Food Pantry,ClosedOpens 8:30 AM Sat(347) 217-4988,(347) 217-4988,8:30 AM,Sat,1834 DECATUR STREE,OK,1834 DECATUR STREET,QUEENS,11385,405,QN2,40.69823,-73.897778,4035790039,,Food Pantry,Morning
ST. ANTHONY'S CHURCH (SK),"1750 Mansion St, Bronx, New York, 10460",Soup Kitchen,ClosedOpens 7:00 AM Sat(718) 931-4040,(718) 931-4040,7:00 AM,Sat,"1750 Mansion St, Bronx, New York, 10460",OK,1750 MANSION STREET,BRONX,10460,209,BX2,40.837975,-73.869555,2039140022,,Soup Kitchen,Morning
HARLEM DOWLING WEST SIDE CENTER/SPECIALIZED SERVICES,"2139 Adam Clayton Powell Jr Blvd, New York, New York, 10027",Food Pantry,ClosedOpens 12:00 PM Fri(212) 749-3656,(212) 749-3656,12:00 PM,Fri,"2139 Adam Clayton Powell Jr Blvd, New York, New York, 10027",OK,2139 ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,10027,110,MN7,40.81014,-73.947461,1019110061,,Food Pantry,Noon
"WEST HARLEM GROUP ASSISTANCE, INC","625 Lenox Ave, New York, New York, 10030",Food Pantry - Mobile,"OpenCloses 2:00 PM(212) 832-1399,2723","(212) 832-1399,2723",2:00 PM,No Info,"625 Lenox Ave, New York, New York, 10030",OK,625 LENOX AVENUE,MANHATTAN,10037,110,MN7,40.818089,-73.937964,1020100030,Mobile,Food Pantry,Afternoon
PROJECT L.E.A.D.,"85-12 126th St, Kew Gardens, New York, 11415",Food Pantry - Kosher,ClosedOpens 7:30 AM Sun(718) 495-6210,(718) 495-6210,7:30 AM,Sun,"85-12 126th St, Kew Gardens, New York, 11415",OK,85-12 126 STREET,QUEENS,11415,409,QN4,40.703976,-73.825379,4092710012,Kosher,Food Pantry,Morning
ST. JOHN'S BREAD & LIFE FOOD PANTRY,"795 Lexington Ave, New York, New York, 10065",Food PantrySoup Kitchen,OpenCloses 1:00 PM(718) 574-0058,(718) 574-0058,1:00 PM,No Info,"795 Lexington Ave, New York, New York, 10065",OK,795 LEXINGTON AVENUE,MANHATTAN,10065,108,MN6,40.763862,-73.96698,1013960054,,Food Pantry,Afternoon
ZEINA LORRAINE INC,"203 W 133rd St, New York, New York, 10030",Food Pantry,OpenCloses 2:00 PM(646) 355-3880,(646) 355-3880,2:00 PM,No Info,"203 W 133rd St, New York, New York, 10030",OK,203 WEST  133 STREET,MANHATTAN,10030,110,MN7,40.814214,-73.945113,1019390029,,Food Pantry,Afternoon
HOLY CHILD JESUS FOOD PANTRY,"112-06 86th Ave, Richmond Hill, NY, 11418, USA",Food Pantry,ClosedOpens 10:00 AM Mon(718) 847-1860,(718) 847-1860,10:00 AM,Mon,"112-06 86th Ave, Richmond Hill, NY, 11418, USA",OK,112-06 86 AVENUE,QUEENS,11418,409,QN4,40.699022,-73.836868,4092260001,,Food Pantry,Morning
GREENPOINT REFORMED CHURCH FOOD PANTRY (FP),"136 Milton St, Brooklyn, New York, 11222",Food Pantry,ClosedOpens 4:00 PM Thu(517) 643-2998,(517) 643-2998,4:00 PM,Thu,"136 Milton St, Brooklyn, New York, 11222",OK,136 MILTON STREET,BROOKLYN,11222,301,BK1,40.729376,-73.955224,3025660032,,Food Pantry,Afternoon
FOOD BANK FOR NEW YORK CITY ,"252 W 116th St, New York, New York, 10026",Food PantrySoup Kitchen,"OpenCloses 6:00 PM(212) 566-7855,6104","(212) 566-7855,6104",6:00 PM,No Info,"252 W 116th St, New York, New York, 10026",OK,252 WEST  116 STREET,MANHATTAN,10026,110,MN7,40.804178,-73.954813,1018310060,,Food Pantry,Afternoon
HOLY TABERNACLE CHURCH INC.,"3780 3rd Ave, Bronx, New York, 10456",Food PantrySoup Kitchen,ClosedOpens 3:30 PM Tue(718) 293-9862,(718) 293-9862,3:30 PM,Tue,"3780 3rd Ave, Bronx, New York, 10456",OK,3780 3 AVENUE,BRONX,10456,203,BX1,40.8368,-73.902234,2029270013,,Food Pantry,Afternoon
IRIS HOUSE,"2348 Adam Clayton Powell Jr Blvd, New York, New York, 10030",Food PantrySoup Kitchen,OpenCloses 3:00 PM(646) 548-0100,(646) 548-0100,3:00 PM,No Info,"2348 Adam Clayton Powell Jr Blvd, New York, New York, 10030",OK,2348 ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,10030,110,MN7,40.816958,-73.942506,1020230033,,Food Pantry,Afternoon
CHRIST CHURCH UNITED METHODIST,"524 Park Ave, New York, NY, 10065, USA",Soup Kitchen,ClosedOpens 4:30 PM Sun(212) 838-3036,(212) 838-3036,4:30 PM,Sun,"524 Park Ave, New York, NY, 10065, USA",OK,524 PARK AVENUE,MANHATTAN,10065,108,MN6,40.763786,-73.969175,1013750036,,Soup Kitchen,Afternoon
SOUTHERN BAPTIST CHURCH,"12 W 108th St, New York, New York, 10025",Soup Kitchen,ClosedOpens 12:00 PM Wed(212) 663-6549,(212) 663-6549,12:00 PM,Wed,"12 W 108th St, New York, New York, 10025",OK,12 WEST  108 STREET,MANHATTAN,10025,107,MN5,40.799569,-73.959616,1018430041,,Soup Kitchen,Noon
ST. THOMAS AQUINAS FOOD PANTRY (FP),"1900 Crotona Pkwy, Bronx, New York, 10460",Food Pantry,ClosedOpens 10:00 AM Wed(718) 589-5235,(718) 589-5235,10:00 AM,Wed,"1900 Crotona Pkwy, Bronx, New York, 10460",OK,1900 CROTONA PARKWAY,BRONX,10460,206,BX1,40.840742,-73.885636,2029850019,,Food Pantry,Morning
ST. CHARLES BORROMEO CHURCH,"211 W 141st St, New York, New York, 10030",Food Pantry,ClosedOpens 9:00 AM Sat(212) 281-2100,(212) 281-2100,9:00 AM,Sat,"211 W 141st St, New York, New York, 10030",OK,211 WEST  141 STREET,MANHATTAN,10030,110,MN7,40.819395,-73.941612,1020270024,,Food Pantry,Morning
ST. PETER'S CHURCH BREAKFAST PROGRAM,"619 Lexington Ave, New York, New York, 10022",Soup Kitchen,ClosedOpens 7:15 AM Tue(212) 935-2200,(212) 935-2200,7:15 AM,Tue,"619 Lexington Ave, New York, New York, 10022",OK,619 LEXINGTON AVENUE,MANHATTAN,10022,106,MN2,40.758698,-73.970744,1013087501,,Soup Kitchen,Morning
ST. PETER'S LOVE PANTRY,"2500 Westchester Ave, Bronx, New York, 10461",Food Pantry,ClosedOpens 10:00 AM Tue(718) 931-9270,(718) 931-9270,10:00 AM,Tue,"2500 Westchester Ave, Bronx, New York, 10461",OK,2500 WESTCHESTER AVENUE,BRONX,10461,210,BX2,40.838614,-73.844473,2038480018,,Food Pantry,Morning
MOMENTUM PROJECT @ CHURCH OF THE GOD OF PROPHECY,"85 E 165th St, Bronx, New York, 10452",Food Pantry - HIV Customers,ClosedOpens 11:00 AM Tue(718) 292-7718,(718) 292-7718,11:00 AM,Tue,"85 E 165th St, Bronx, New York, 10452",OK,85 EAST  165 STREET,BRONX,10452,204,BX1,40.831578,-73.92233,2024780001,HIV Customers,Food Pantry,Noon
SAGE CENTER HARLEM (LOVE WINS FOOD PANTRY),"220 W 143rd St, New York, NY, 10030, USA",Food Pantry,ClosedOpens 3:00 PM Wed(646) 660-8951,(646) 660-8951,3:00 PM,Wed,"220 W 143rd St, New York, NY, 10030, USA",OK,220 WEST  143 STREET,MANHATTAN,10030,110,MN7,40.8208,-73.94113,1020280016,,Food Pantry,Afternoon
MAKE THE ROAD NEW YORK (BK),"301 Grove St, Brooklyn, NY, 11237, USA",Food Pantry,ClosedOpens 8:00 AM Fri(718) 418-7690,(718) 418-7690,8:00 AM,Fri,"301 Grove St, Brooklyn, NY, 11237, USA",OK,301 GROVE STREET,BROOKLYN,11237,304,BK1,40.698505,-73.915575,3033170041,,Food Pantry,Morning
ELOHIM CHRISTINA CHURCH FOOD PANTRY,"87-47 111th St, Richmond Hill, New York, 11418",Food Pantry,ClosedOpens 7:00 AM Fri(917) 916-3066,(917) 916-3066,7:00 AM,Fri,"87-47 111th St, Richmond Hill, New York, 11418",OK,87-47 111 STREET,QUEENS,11418,409,QN4,40.696475,-73.836964,4093010024,,Food Pantry,Morning
SAGE CENTER BRONX (LOVE WINS FOOD PANTRY),"1784 Prospect Ave, Bronx, NY, 10457, USA",Food Pantry,ClosedOpens 1:00 PM Fri(718) 960-3339,(718) 960-3339,1:00 PM,Fri,"1784 Prospect Ave, Bronx, NY, 10457, USA",OK,1784 PROSPECT AVENUE,BRONX,10457,206,BX1,40.841212,-73.891989,2029527501,,Food Pantry,Afternoon
THE BIBLE CHURCH OF CHRIST (80015),"1358 Morris Ave, Bronx, NY, 10456, USA",Food Pantry,ClosedOpens 3:00 PM Sun(718) 293-1928,(718) 293-1928,3:00 PM,Sun,"1358 Morris Ave, Bronx, NY, 10456, USA",OK,1358 MORRIS AVENUE,BRONX,10456,204,BX1,40.836865,-73.911966,2027850029,,Food Pantry,Afternoon
RIVER FUND,"89-11 Lefferts Blvd, Richmond Hill, New York, 11418",Food Pantry,ClosedOpens 9:00 AM Sat(718) 441-1125,(718) 441-1125,9:00 AM,Sat,"89-11 Lefferts Blvd, Richmond Hill, New York, 11418",OK,89-11 LEFFERTS BOULEVARD,QUEENS,11418,409,QN4,40.697101,-73.829483,4093460047,,Food Pantry,Morning
COALITION FOR THE HOMELESS,"108 E 51st St, New York, NY, 10022, USA",Soup Kitchen - Mobile,ClosedOpens 5:30 PM Thu(212) 776-2002,(212) 776-2002,5:30 PM,Thu,"108 E 51st St, New York, NY, 10022, USA",OK,108 EAST   51 STREET,MANHATTAN,10022,105,MN4,40.757543,-73.972917,1013050001,Mobile,Soup Kitchen,Afternoon
CROSSROADS COMMUNITY SERVICES INC,"108 E 51st St, New York, NY, 10022, USA",Food PantrySoup Kitchen,OpenCloses 1:00 PM(212) 378-0229,(212) 378-0229,1:00 PM,No Info,"108 E 51st St, New York, NY, 10022, USA",OK,108 EAST   51 STREET,MANHATTAN,10022,105,MN4,40.757543,-73.972917,1013050001,,Food Pantry,Afternoon
FATHER CREAVIN'S FOOD PANTRY,"276 W 151st St, New York, New York, 10039",Food Pantry,ClosedOpens 9:00 AM Tue(212) 281-2100,(212) 281-2100,9:00 AM,Tue,"276 W 151st St, New York, New York, 10039",OK,276 WEST  151 STREET,MANHATTAN,10039,110,MN7,40.826126,-73.937982,1020360047,,Food Pantry,Morning
GETHSEMANE BAPTIST CHURCH (FP),771 FAIRMOUNT PLACE,Food Pantry,ClosedOpens 8:00 AM undefined(347) 948-0772,(347) 948-0772,8:00 AM,No Info,771 FAIRMOUNT PLACE,OK,771 FAIRMOUNT PLACE,BRONX,10460,206,BX1,40.842956,-73.889532,2029550001,,Food Pantry,Morning
GRAND CONCOURSE SEVENTH DAY ADVENTIST CHURCH,"1275 Grand Conc, Bronx, New York, 10452",Food Pantry,ClosedOpens 1:30 PM Wed(718) 681-2232,(718) 681-2232,1:30 PM,Wed,"1275 Grand Conc, Bronx, New York, 10452",OK,1275 GRAND CONCOURSE,BRONX,10452,204,BX1,40.836092,-73.916181,2024660026,,Food Pantry,Afternoon
ICNA RELIEF USA,"87-91 144th St, Jamaica, New York, 11435",Food Pantry,OpenCloses 1:00 PM(718) 658-7028,(718) 658-7028,1:00 PM,No Info,"87-91 144th St, Jamaica, New York, 11435",OK,87-91 144 STREET,QUEENS,11435,412,QN4,40.704531,-73.811813,4096890004,,Food Pantry,Afternoon
CCC NEW YORK PARISH FOOD PANTRY OUTREACH PROGRAM,"1380 Jefferson Ave, Brooklyn, New York, 11237",Food Pantry,ClosedOpens 10:00 AM Sat(718) 366-8065,(718) 366-8065,10:00 AM,Sat,"1380 Jefferson Ave, Brooklyn, New York, 11237",OK,1380 JEFFERSON AVENUE,BROOKLYN,11237,304,BK1,40.694735,-73.909875,3033920013,,Food Pantry,Morning
FOOD AND NUTRITION SERVICES PROGRAM,"1802 Crotona Ave, Bronx, NY, 10457, USA",Food Pantry,ClosedOpens 10:00 AM Wed(347) 974-7397,(347) 974-7397,10:00 AM,Wed,"1802 Crotona Ave, Bronx, NY, 10457, USA",OK,1802 CROTONA AVENUE,BRONX,10457,206,BX1,40.84283,-73.893493,2029480003,,Food Pantry,Morning
AFRICAN SERVICES COMMITTEE (FP),"429 W 127th St, New York, New York, 10027",Food Pantry,"OpenCloses 4:00 PM(212) 222-3882,101","(212) 222-3882,101",4:00 PM,No Info,"429 W 127th St, New York, New York, 10027",OK,429 WEST  127 STREET,MANHATTAN,10027,109,MN7,40.813002,-73.953849,1019670060,,Food Pantry,Afternoon
CATHEDRAL OF ST. JOHN THE DIVINE,"1047 Amsterdam Ave, New York, New York, 10025",Soup Kitchen,ClosedOpens 10:00 AM Sun(212) 316-7640,(212) 316-7640,10:00 AM,Sun,"1047 Amsterdam Ave, New York, New York, 10025",OK,1047 AMSTERDAM AVENUE,MANHATTAN,10025,109,MN7,40.804033,-73.963074,1018650001,,Soup Kitchen,Morning
CATHEDRAL COMMUNITY CARES,"1047 Amsterdam Ave, New York, NY, 10025, USA",Food Pantry,OpenCloses 6:00 PM(347) 376-2898,(347) 376-2898,6:00 PM,No Info,"1047 Amsterdam Ave, New York, NY, 10025, USA",OK,1047 AMSTERDAM AVENUE,MANHATTAN,10025,109,MN7,40.804033,-73.963074,1018650001,,Food Pantry,Afternoon
WHEDCO - FOOD PANTRY,"50 E 168th St, Bronx, New York, 10452",Food Pantry,ClosedOpens 9:30 AM Wed(718) 839-1100,(718) 839-1100,9:30 AM,Wed,"50 E 168th St, Bronx, New York, 10452",OK,50 EAST  168 STREET,BRONX,10452,204,BX1,40.836725,-73.919292,2024800001,,Food Pantry,Morning
BRONX SEVENTH DAY ADVENTIST CHURCH (FP),"1695 Washington Ave, Bronx, New York, 10457",Food Pantry,ClosedOpens 2:00 PM Thu(646) 353-8926,(646) 353-8926,2:00 PM,Thu,"1695 Washington Ave, Bronx, New York, 10457",OK,1695 WASHINGTON AVENUE,BRONX,10457,203,BX1,40.842148,-73.90082,2029060089,,Food Pantry,Afternoon
FIRST UNITED METHODIST CHURCH OF JAMAICA (FP),"162-10 Highland Ave, Jamaica, New York, 11432",Food Pantry,ClosedOpens 8:30 AM Mon(718) 739-2269,(718) 739-2269,8:30 AM,Mon,"162-10 Highland Ave, Jamaica, New York, 11432",OK,162-10 HIGHLAND AVENUE,QUEENS,11432,408,QN3,40.709879,-73.800873,4097720046,,Food Pantry,Morning
CHURCH OF THE ANNUNCIATION,"88 Convent Ave, New York, New York, 10027",Food Pantry,ClosedOpens 2:00 PM Tue(212) 234-1919,(212) 234-1919,2:00 PM,Tue,"88 Convent Ave, New York, New York, 10027",OK,88 CONVENT AVENUE,MANHATTAN,10027,109,MN7,40.816276,-73.952814,1019700042,,Food Pantry,Afternoon
